ASIN,YEAR,MONTH,DAY,STAR_5,STAR_4,STAR_3,STAR_2,STAR_1,STAR_AVG,
B07NJQ89D5,2022,1,24,70,16,8,2,4,4.5,
B094KVYZSC,2022,1,24,65,16,7,7,5,4.3,
B094KT28DV,2022,1,24,66,15,9,4,7,4.3,
B07N3BN1KS,2022,1,24,74,12,7,3,4,4.5,
B008J2GP9G,2022,1,24,78,12,5,2,3,4.6,
B07BVKK11Q,2022,1,24,74,15,7,2,2,4.6,
B000TGC8D2,2022,1,24,72,15,7,3,3,4.5,
B00FH692PQ,2022,1,24,64,18,9,3,5,4.3,
B002KG28PW,2022,1,24,81,11,4,1,2,4.7,
B000MD65FO,2022,1,24,84,10,3,1,2,4.7,
B07N3BN1KS,2022,1,24,74,12,7,3,4,4.5,
B07T2L6JR1,2022,1,24,76,12,6,2,3,4.6,
B08BTNS4K8,2022,1,24,81,12,4,1,1,4.7,
B01DZSM0HY,2022,1,24,80,7,3,1,8,4.5,
B078H4HXSM,2022,1,24,83,8,5,2,2,4.7,
B0006FMK98,2022,1,24,74,13,7,3,3,4.5,
B07CJMJS3L,2022,1,24,78,10,8,1,2,4.6,
B00C5AHTVQ,2022,1,24,83,9,4,1,2,4.7,
B094KY78HJ,2022,1,24,71,16,7,3,3,4.5,
B0038TXGL0,2022,1,24,76,13,5,2,3,4.6,
B0842YG95G,2022,1,24,78,13,5,2,2,4.6,
B00EHD9872,2022,1,24,81,10,4,2,2,4.7,
B00AINMFAC,2022,1,24,76,14,7,2,2,4.6,
B00LSV7ZQ2,2022,1,24,69,14,7,4,6,4.4,
B07BHCB9Y2,2022,1,24,66,16,9,3,5,4.4,
B07NQ69L7P,2022,1,24,80,12,5,2,2,4.7,
B0743CZWCP,2022,1,24,69,12,9,4,7,4.3,
B082YGK39W,2022,1,24,75,11,7,3,4,4.5,
B08T47QVNR,2022,1,24,87,7,3,1,2,4.8,
B074VLGVJ3,2022,1,24,80,12,5,1,2,4.7,
B086S4Q7JH,2022,1,24,83,10,4,1,2,4.7,
B0038TXGL0,2022,1,24,76,13,5,2,3,4.6,
B0009I4MKW,2022,1,24,80,11,4,2,3,4.6,
B079RJ4Y7B,2022,1,24,74,13,6,3,4,4.5,
B0784P7P16,2022,1,24,72,12,8,3,4,4.5,
B00ILBUEVK,2022,1,24,85,9,3,1,2,4.8,
B001E96P28,2022,1,24,77,13,7,1,1,4.6,
B07PY962WW,2022,1,24,67,18,8,3,3,4.4,
B0087PWY86,2022,1,24,80,13,4,1,1,4.7,
B0007CXXYG,2022,1,24,82,10,4,1,2,4.7,
B07F38LXDM,2022,1,24,88,9,2,0,1,4.8,
B082G1PXB3,2022,1,24,75,12,7,3,3,4.5,
B07D37PQGL,2022,1,24,85,8,3,1,2,4.7,
B07VW5GMLD,2022,1,24,70,14,8,4,5,4.4,
B01LZG17UO,2022,1,24,83,11,4,1,1,4.7,
B00C5AHTVQ,2022,1,24,83,9,4,1,2,4.7,
B094KVYZSC,2022,1,24,65,16,7,7,5,4.3,
B01M2DNKV7,2022,1,24,83,11,4,1,1,4.7,
B01M1NFFUV,2022,1,24,78,9,7,2,4,4.6,
B08LHXJTDW,2022,1,24,86,8,3,1,2,4.8,
B07K4S4J66,2022,1,24,66,15,9,4,6,4.3,
B0007X749U,2022,1,24,84,9,4,1,2,4.7,
B01MDTVV6T,2022,1,24,73,15,7,2,3,4.5,
B08BTKBVWT,2022,1,24,75,13,6,2,3,4.5,
B07HRNLW6V,2022,1,24,58,14,12,6,10,4,
B01INE0KAY,2022,1,24,83,11,4,1,1,4.7,
B01DX8O092,2022,1,24,81,7,6,1,5,4.6,
B005NOPU2G,2022,1,24,84,10,4,1,2,4.7,
B07GQM62WM,2022,1,24,55,18,12,5,10,4,
B08NVK6NS6,2022,1,24,73,12,8,2,5,4.5,
B07M6HP787,2022,1,24,74,14,6,2,3,4.5,
B01LFQYXBO,2022,1,24,77,13,6,2,2,4.6,
B001EO5WYU,2022,1,24,73,13,7,3,4,4.5,
B08SSCH7YR,2022,1,24,73,15,7,2,3,4.5,
B00LPLQIKO,2022,1,24,74,15,6,1,5,4.5,
B0048F5ATO,2022,1,24,76,12,6,2,3,4.6,
B07XGTMQLF,2022,1,24,82,8,4,1,5,4.6,
B002WTC3AW,2022,1,24,82,11,4,1,2,4.7,
B004W498AS,2022,1,24,67,16,9,3,4,4.4,
B00JWSNNRI,2022,1,24,84,9,4,1,3,4.7,
B0891843GC,2022,1,24,86,8,3,1,2,4.7,
B087QZXBLH,2022,1,24,83,8,4,2,4,4.7,
B0009I4MKW,2022,1,24,80,11,4,2,3,4.6,
