ASIN,YEAR,MONTH,DAY,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10,KEYWORD_11,KEYWORD_12,KEYWORD_13,KEYWORD_14,KEYWORD_15,KEYWORD_16,KEYWORD_17,KEYWORD_18,KEYWORD_19,KEYWORD_20,TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B094KVYZSC,2022,3,8,hydration spa,hyaluronic serum,dry hair,works well,spa therapy,hyaluronic acid,long time,hair feeling,hair therapy,curly hair,therapy shampoo,last a long,shoulder length,works great,smells good,really like,without weighing,therapy conditioner,soft and shiny,large bottle,22:52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B094KT28DV,2022,3,8,breakage remedy,hair therapy,nutrient-lock serum,works well,fine hair,remedy with nutrient-lock,therapy shampoo,soft and manageable,therapy conditioner,super soft,smells great,damaged hair,damaged hair and breakage,fine thin,leaves my hair,easy to use,shampoo and conditioner,feeling soft,hair feeling,large bottle,23:01.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000R8QVY4,2022,3,8,tea tree,lemon sage,paul mitchell,fine hair,love this shampoo,plastic bag,tree lemon,thickening shampoo,travel size,sage thickening,highly recommend,smells good,thickening spray,thicken my hair,makes my hair,smells nice,last a long,leaked inside,trial size,shampoo and conditioner,23:09.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08QXB1BLF,2022,3,8,easy to use,dark brown,light brown,gray hair,chestnut brown,hair dye,last long,long time,worth the money,highly recommend,best part,definitely worth,natural ingredients,dye shampoo,lots of hair,easy to apply,every 3 weeks,super easy,stains on my skin,hair color,23:16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08VW53HN6,2022,3,8,hair loss,majestic pure,biotin shampoo,every other day,leaves hair,really like,make my hair,hair feels,smells good,fine hair,thinning hair,far i like,hair falling,used this shampoo,hair look,hair soft,hair was really thinning,help my hair,like the shampoo,great shampoo,23:24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000MD65FO,2022,3,8,tea tree,paul mitchell,tree oil,dry scalp,highly recommend,itchy scalp,mitchell tea,tree special,plastic bag,every day,great shampoo,oily hair,head and shoulders,shampoo ever,real deal,long time,body wash,tingling sensation,favorite shampoo,inside the box,23:31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00ILBUEVK,2022,3,8,color treated,treated hair,shampoo and conditioner,best shampoo,love this shampoo,hair soft,long time,travel size,sulfate free,really like,goes a long,love the smell,long way,many years,great shampoo,worth the money,hair feeling,soft and shiny,works well,every day,23:38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B003JKDNQQ,2022,3,8,paul mitchell,awapuhi shampoo,best shampoo,years ago,real deal,smells good,mitchell awapuhi,body wash,small amount,smells great,highly recommend,everyday,using this shampoo for years,real thing,sensitive skin,shampoo ever,long time,smells like,works great,squeaky clean,23:45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0752L2VSJ,2022,3,8,color treated,shampoo and conditioner,treated hair,hair soft,leaves my hair,sulfate free,smells great,works well,oréal paris,color vibrancy,pump bottle,long way,soft and shiny,dyed hair,great value,works great,goes a long,long time,vibrancy protecting,feel like,23:56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SSFFH6N,2022,3,8,purple shampoos,color extend,extend graydiant,travel size,blonde hair,smells nice,white hair,yellow tones,gray looks silver,small amount,soft and shiny,silver hair,continue to use,shampoo and conditioner,dry and brittle,really helps,even though,makes my hair,need to use,light blonde,24:04.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B094W8YZQ4,2022,3,8,sal therapeutic,salicylic acid,therapeutic shampoo,lathers well,fragrance free,every day,works wonders,seborrheic dermatitis,works well,active ingredient,since he started,started using,shampoo works,dandruff psoriasis,treatment for dandruff,scalp build-up,regular shampoo,using this shampoo,smell,build,24:11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07XB2Q542,2022,3,8,shampoo and conditioner,biotin and collagen,thick and full,hair loss,smells good,extra strength,extra volume,class action,started using,second time,original formula,johnson and johnson,collagen shampoo,recommend this to anyone,smells great,feel like,love this shampoo,hair fall,hair feeling,matching conditioner,24:18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0752FXRQJ,2022,3,8,fine hair,volume filler,leaves my hair,love this shampoo,adds volume,long time,smells good,strong scent,filler thickening,last a long,makes my hair,waste your money,every day,highly recommend,great shampoo,thinning hair,blow dry,oréal paris,extra volume,thicker and fuller,24:27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07F38LXDM,2022,3,8,head and shoulders,every day,dandruff shampoo,anti dandruff,oily hair,great value,good value,tried so many,treatment and scalp,classic clean,long time,started using,scalp care,using for over 30 years,use every,favorite shampoo,great shampoo,great price,good price,good shampoo,24:34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SSCH7YR,2022,3,8,fine hair,high rise,volume injection,injection shampoo,shampoo and conditioner,paraben free,easy to hold,adds volume,leaves my hair,works well,smells good,shampoo for fine,much better,cleans well,need to use,lift and swing and body,hair is fine,really like,thin hair,fine and thin,24:41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07D37PQGL,2022,3,8,goes a long,little goes,small amount,highly recommend,best shampoo,ever used,shampoo ever,worth the money,damaged hair,love this shampoo,fine hair,worth the price,hair fall,dime size,long time,split ends,color treated,started using,little bit,tiny bit,24:49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00FH692PQ,2022,3,8,hair loss,anti-hair loss,gold label,argan oil,highly recommend,every day,hair growth,hair fall,thinning hair,premium organic,second bottle,recommend this to anyone,pura premium,blue label,far so good,natural ingredients,smells good,new growth,dht blockers,long time,24:57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097F9WTSP,2022,3,8,25:03.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0983XSHSR,2022,3,8,color treated,works well,curly hair,toning cleanser,little bit,blue shampoo,let it sit,zero lather,hair look,sit on my hair,left my hair,shampoo with zero lather,like to use,like my shampoo,conditioner,brassy,hands,bottle,leave,brass,25:10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07525QJC8,2022,3,8,total repair,highly recommend,damaged hair,oréal paris,love this shampoo,elvive total,soft and shiny,curly hair,paris elvive,color treated,hair loss,split ends,started using,changed the formula,hair feeling,smells good,tangle free,shampoos and conditioners,naturally curly,dry and brittle,25:18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08BTMXSG6,2022,3,8,moisture rich,dry hair,hair feeling,moisturizing shampoo,hard water,soft and manageable,every day,great shampoo,use conditioner,inside the box,great price,leaves my hair,best shampoo,value for money,great value,good quality,formulated with vitamin,good value,worked very well,makes my hair,25:25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00AINMFAC,2022,3,8,itchy scalp,dry scalp,tea tree,highly recommend,seborrheic dermatitis,hair loss,tried everything,selsun blue,twice a week,every other day,dandruff shampoo,fungal acne,times a week,tree oil,use it every,rid of my dandruff,really works,completely gone,really bad,apple cider,25:33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00HZ381GU,2022,3,8,every day,recommended by my dermatologist,cln shampoo,smells like,itchy scalp,tea tree,highly recommend,dermatologist recommended,salicylic acid,times a week,scalp issues,tried many,regular shampoo,waste of money,scalp acne,worth the money,much better,hair loss,decided to try,started using,25:40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08WSC8WDR,2022,3,8,color extend,color treated,treated hair,hair soft,makes my hair,shampoo and conditioner,extend shampoo,soft and shiny,color-treated hair,highly recommend,smells great,hair stylist,hair feeling,love this shampoo,without stripping,long time,feel like,goes a long,last a long,cleans my hair,25:48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B008J2GP9G,2022,3,8,sulfate free,argan oil,shampoo and conditioner,absolutely love,hair loss,hair fall,long time,little goes,hair feeling,goes a long,love this shampoo,much better,without stripping,super soft,subscribe and save,long way,long thick,smells good,body wash,really good,25:55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SSM21R4,2022,3,8,highly recommend,dry and brittle,love this shampoo,super soft,dry hair,color treated,feel like,makes my hair,hair feeling,argan oil,long way,using for years,goes a long,little goes,shampoos and conditioners,curly hair,real deal,real thing,smells amazing,heavy cream,26:03.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B018B8PRBE,2022,3,8,john frieda,blonde hair,light brown,dirty blonde,hydrogen peroxide,brown hair,dark blonde,purple shampoo,natural blonde,flat iron,every day,highly recommend,dry hair,lightening spray,love this stuff,naturally blonde,dark brown,little bit,sheer blonde,medium brown,26:11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01CSKTVPO,2022,3,8,leaves hair,many years,great value,works well,shampoo and conditioner,clean an d soft,love the smell,works great,shampoo for many,great buy,hair feels,hair extremely soft,love this shampoo,great shampoo,bottles,shampoos,shiny,wash,affordable,body,26:18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B002CMLJMW,2022,3,8,paul mitchell,color protect,shampoo and conditioner,leaves my hair,color treated,feel like,treated hair,every day,protect shampoo,drug store,works great,mitchell color,recommend this product to anyone,hair feeling,wash it every,great value,anything else,always loved,plastic bag,highly recommend,26:25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B008OL3UYK,2022,3,8,avalon organics,hair loss,highly recommend,fine hair,thinning hair,allergic reaction,every day,thickening shampoo,plastic bag,hair growth,smells good,smells like,organics biotin,biotin b-complex,tea tree,hair feeling,itchy scalp,great shampoo,ever used,biotin b complex,26:33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0891BG2PY,2022,3,8,small amount,color treated,shampoo and conditioner,goes a long,treated hair,long way,little goes,never buy,regular hydrate,leaves my hair,started using,makes my hair,hydrate sheer,best shampoo,smells amazing,smells like,smells great,great shampoo,love the way,dry hair,26:41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0934589WQ,2022,3,8,shampoo,conditioner,bottle,dry,scent,26:50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07TDR1H6H,2022,3,8,dark oil,love love love,highly recommend,dry hair,smells great,smells amazing,soft and shiny,hair soft,ever used,shampoo and conditioner,long way,makes my hair,blow dry,smells good,flat iron,shoulder length,run my fingers,good deal,hair dresser,goes a long,26:57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08YF97RM5,2022,3,8,shampoo and conditioner,ewg verified,working group,sensitive skin,environmental working,hair feeling,smells great,ewg website,ewg certified,makes my hair,work well,hair soft,harmful ingredients,love this shampoo,small amount,matching conditioner,wanted to love,highly rated,really like,hair well,27:07.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001BAFQOS,2022,3,8,john frieda,fine hair,root booster,baby fine,luxurious volume,frieda luxurious,highly recommend,waste of money,spray nozzle,ever used,john freida,tried many,hair soft,straight hair,every day,fine and straight,curling iron,great for fine,love love love,recommend it to anyone,27:14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08NCP7FVL,2022,3,8,sulfate free,purple shampoos,blonde hair,highly recommend,oreal paris,smells good,hair feeling,dry hair,twice a week,waste of money,shampoos and conditioners,blonde highlights,purple conditioner,smells like,see a difference,times a week,dark brown,even though,everyday,white hair,27:23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B012HPGFIQ,2022,3,8,shampoo and conditioner,tea tree,fine hair,thinning hair,hair loss,smells like,started using,thicken the hair,feel thicker,look and feel,small amount,value for money,minty smell,cleans well,well worth,hair fall,makes my hair,using it for a month,works great,using this shampoo,27:29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01INE0KAY,2022,3,8,body wash,shampoo and conditioner,makes my hair,many shampoos,great price,great deal,pretty good,shampoo i was using,love the fresh smell,price i love,hair feels,good price,hair used,great shampoo,shampoo makes my hair,dry,bottles,daily,moisture,moisturizing,27:37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08LHX5QG7,2022,3,8,tea tree,head and shoulders,tree oil,twin pack,dandruff shampoo,leaves my hair,dry scalp,huge bottles,shampoo and conditioner,shampoo twin,works great,infused with tea,smells nice,flake free,good value,pack infused,works very well,love the smell,hair clean,hair feeling,27:44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01N97PCBH,2022,3,8,pure clean,oily hair,smells good,squeaky clean,hair feeling,clarifying shampoo,cleans well,fructis pure,works well,great price,clean fresh,great shampoo,smells amazing,sensitive skin,highly recommend,good value,smells nice,pretty good,great value,everyday,27:51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
